hashtag,date,n
#cuba,2021-10-28T01,31.0
#cuba,2021-10-28T02,22.666666666666668
#cuba,2021-10-28T03,17.666666666666668
#cuba,2021-10-28T04,11.333333333333334
#cuba,2021-10-28T05,6.666666666666667
#cuba,2021-10-28T06,3.3333333333333335
#cuba,2021-10-28T07,2.3333333333333335
#cuba,2021-10-28T08,2.3333333333333335
#cuba,2021-10-28T09,2.6666666666666665
#cuba,2021-10-28T10,7.333333333333333
#cuba,2021-10-28T11,12.333333333333334
#cuba,2021-10-28T12,16.666666666666668
#cuba,2021-10-28T13,13.333333333333334
#cuba,2021-10-28T14,13.333333333333334
#cuba,2021-10-28T15,8.666666666666666
#cuba,2021-10-28T16,8.333333333333334
#cuba,2021-10-28T17,4.0
#cuba,2021-10-28T18,4.0
#cuba,2021-10-28T19,3.6666666666666665
#cuba,2021-10-28T20,3.6666666666666665
#cuba,2021-10-28T21,3.3333333333333335
#cuba,2021-10-28T22,4.333333333333333
#cuba,2021-10-28T23,4.0
#cuba,2021-10-29T00,4.666666666666667
#cuba,2021-10-29T01,5.333333333333333
#cuba,2021-10-29T02,6.666666666666667
#cuba,2021-10-29T03,5.333333333333333
#cuba,2021-10-29T04,2.6666666666666665
#cuba,2021-10-29T05,0.3333333333333333
#cuba,2021-10-29T06,0.0
#cuba,2021-10-29T07,0.0
#cuba,2021-10-29T08,0.0
#economiaverde,2021-10-24T08,0.0
#economiaverde,2021-10-24T09,0.0
#economiaverde,2021-10-24T10,0.0
#economiaverde,2021-10-24T11,0.0
#economiaverde,2021-10-24T12,0.0
#economiaverde,2021-10-24T13,0.0
#economiaverde,2021-10-24T14,0.0
#economiaverde,2021-10-24T15,0.0
#economiaverde,2021-10-24T16,0.0
#economiaverde,2021-10-24T17,0.0
#economiaverde,2021-10-24T18,0.0
#economiaverde,2021-10-24T19,0.0
#economiaverde,2021-10-24T20,0.0
#economiaverde,2021-10-24T21,0.0
#economiaverde,2021-10-24T22,0.0
#economiaverde,2021-10-24T23,0.0
#economiaverde,2021-10-25T00,0.0
#economiaverde,2021-10-25T01,0.0
